District,District Code,Facility Code,Reg No.,DHIS2 CODE,Facility Name,Facility Type,Facility Ownership,Facility Location,Catchment Population (2018),LATITUDE,LONGITUDE,,,,,,,
,,,,,,,,,,,,,,,,,,
Chitipa,CP,101,MCM/C/224,0,Banja La Mtsogolo Clinic,Dispensary,Private for profit,Urban,,-9.701760,33.273350,,,,,,,
Chitipa,CP,102,MCM/CHAM/HC/15,102,Chambo Health Centre,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-9.943610,33.397950,,,,,,,
Chitipa,CP,103,MCM/MOH/DH/20,103,Chitipa District Hospital,District Hospital,Government/public,Urban,,-9.701590,33.265900,,,,,,,
Chitipa,CP,104,,104,Ifumbo Health Centre,Health Centre,Government/public,Rural,,-9.604360,33.404950,,,,,,,
Chitipa,CP,105,MCM/MOH/HC/05,105,Kameme Health Centre,Health Centre,Government/public,Rural,,-9.544250,33.131340,,,,,,,
Chitipa,CP,106,MCM/MOH/HC/40,106,Kapenda Health Centre,Health Centre,Government/public,Urban,,-9.493940,33.249110,,,,,,,
Chitipa,CP,107,MCM/CHAM/RH/03,107,Kaseye Mission Hospital,Rural/Community Hospital,Christian Health Association of Malawi (CHAM),Rural,,-9.666440,33.373610,,,,,,,
Chitipa,CP,108,MCM/MOH/HC/43,108,Misuku Health Centre,Health Centre,Government/public,Rural,,-9.679770,33.520760,,,,,,,
Chitipa,CP,112,,0,Mpale Private Clinic,Dispensary,Private for profit,Rural,,-10.186900,33.541680,,,,,,,
Chitipa,CP,109,MCM/CHAM/HC/81,109,Msumbe Health Center,Health Centre,Christian Health Association of Malawi (CHAM),Rural,,-9.751230,33.675630,,,,,,,
Chitipa,CP,110,MCM/MOH/04,110,Nthalire Health Centre,Health Centre,Government/public,Rural,,-10.348940,33.643940,,,,,,,
Chitipa,CP,111,MCM/MOH/HC/49,111,Wenya Health Centre,Health Centre,Government/public,Rural,,-10.112860,33.563440,,,,,,,
Chitipa,CP,113,,0,Ngoya,Health Post,Government/public,Rural,,-9.617792,33.293329,,,,,,,
Chitipa,CP,114,,0,Kalira,Health Post,Government/public,Rural,,-9.575143,33.312223,,,,,,,
Chitipa,CP,115,,0,Iyela,Health Post,Government/public,Rural,,-9.686101,33.294537,,,,,,,
Chitipa,CP,116,,0,Kapoka,Health Post,Government/public,Rural,,-9.780792,33.453954,,,,,,,
Chitipa,CP,117,,0,Chipwera,Health Post,Government/public,Rural,,-9.773001,33.522856,,,,,,,
Chitipa,CP,118,,0,Chiweta,Health Post,Government/public,Rural,,-9.646359,33.246835,,,,,,,
Chitipa,CP,119,,0,Ighughu,Health Post,Government/public,Rural,,-9.673396,33.496793,,,,,,,
